"","person","FK_9","FK_10","FK_11","FK_12","sus_1","sus_2","sus_3","sus_4","Height","Weight","recipe_id","fsa_score","liked_recipes","prepare_recipes","fit_preference","know_many","recommend_recipe","many_to_choose","easy_choice","choice_overwhelming","sys_time","unders_sys","many_actions","under_1","under_2","under_3","n_condition","choice_satisfaction","choice_difficulty","perceived_effort","SFD","Sustain","understand","conditionnoLabel","conditionLabel","conditionHashtags","conditionExplanation"
"40",1067,4,4,4,4,5,2,3,4,170,70,5989,10,4,4,4,1,3,2,2,2,1,1,1,3,3,2,0,3.75,2,1,4,3.5,2.66666666666667,1,0,0,0
"41",1054,4,3,3,4,5,3,4,4,160,70,3514,10,4,1,3,1,3,4,3,4,1,2,2,4,3,3,0,2.75,3.66666666666667,1.66666666666667,3.5,4,3.33333333333333,1,0,0,0
"42",1066,4,3,4,3,4,2,4,3,-185,100,1005,4,4,4,4,3,4,2,2,1,2,2,2,4,4,4,0,4,1.66666666666667,2,3.5,3.25,4,1,0,0,0
"43",1071,3,4,4,4,3,2,3,2,161,83,2955,5,5,4,4,1,3,2,2,1,2,2,1,4,3,4,0,4,1.66666666666667,1.66666666666667,3.75,2.5,3.66666666666667,1,0,0,0
"44",1060,4,5,4,5,4,3,4,4,153,62,2955,5,3,3,4,2,3,2,3,1,1,1,1,5,5,5,0,3.25,2,1,4.5,3.75,5,1,0,0,0
"45",1058,4,4,4,5,4,3,4,4,175,54,6225,11,4,4,4,3,4,2,2,1,2,2,3,4,4,4,0,4,1.66666666666667,2.33333333333333,4.25,3.75,4,1,0,0,0
"46",1064,4,4,3,4,3,2,4,2,165,78,6345,10,4,3,4,2,3,2,2,2,1,2,2,4,3,4,0,3.5,2,1.66666666666667,3.75,2.75,3.66666666666667,1,0,0,0
"47",1063,4,4,3,4,4,3,4,4,160,72,3573,10,3,2,3,2,3,3,3,4,3,2,3,4,3,3,0,2.75,3.33333333333333,2.66666666666667,3.75,3.75,3.33333333333333,1,0,0,0
"48",1062,5,5,4,5,4,3,4,3,160,58,3735,10,5,4,4,3,4,4,3,2,2,2,2,4,4,4,0,4.25,3,2,4.75,3.5,4,1,0,0,0
"49",1073,3,4,2,3,4,4,5,3,168,79,200,6,4,3,4,2,3,2,2,1,2,1,1,4,3,4,0,3.5,1.66666666666667,1.33333333333333,3,4,3.66666666666667,1,0,0,0
